video_id,comment_text,comment_date,comment_author,comment_id
-AmKP9VE2Ms,supermodels and capitalismï»¿,3 months ago,exogenisiss,z12isr2g5qi5zrjk123gtlkjoludgvzsx
-AmKP9VE2Ms,Quero. mÃºsica evangelhaï»¿,4 months ago,Joana Santos,z12zi3ho4yukehhns22ogzybppb5ddb1u
-AmKP9VE2Ms,I just love this ad.....don't know whyï»¿,4 months ago,Utsav Trivedi,z132yrxgvzfzvty1u23ljrtwwvvjyjl5h04
-AmKP9VE2Ms,What is the font for taste the feeling?ï»¿,4 months ago,Fabian Lam (FlowingFab),z13svduhirnmuv40z22mz5jo3r2avf2qf04
-AmKP9VE2Ms,"The IRONY of this is...the more you consume this drink, the less chance you have to enjoy those beautiful moments. Take care of your health = ENJOY LIFE!ï»¿",4 months ago,Art Me,z12eglcolrfixp2c122firew5zbttpscj
-AmKP9VE2Ms,Y the hell did they show that guy kissing a girl in a library in a cold drink ad?ï»¿,4 months ago,MAGMATIGER302,z13verqx0nidhb0ju04cfhwgoy2ajnqg5js
-AmKP9VE2Ms,Why not? ;)ï»¿,2 months ago,Joshua Chen,z13verqx0nidhb0ju04cfhwgoy2ajnqg5js.1468310485301737
-AmKP9VE2Ms,steamyï»¿,1 month ago,Bts Suga,z13verqx0nidhb0ju04cfhwgoy2ajnqg5js.1472413295974003
-AmKP9VE2Ms,I've been watching the coke taste the feeling advertisements that are country specific and am shocked that certain scenes are deleted or edited for different countries. Such a shame coca cola.ï»¿,4 months ago,Danivor Noronha,z12eztoyozanxlxz404cddgagueeyfnieak
-AmKP9VE2Ms,I do like strangers with fireï»¿,4 months ago,Perseus 99,z13vf5bqkxa4ztubr04ch1rjklaehz5qnyc0k
-AmKP9VE2Ms,This commercial makes me sad cuz I have no oneï»¿,4 months ago,slickmick18,z13bclurfzire5nfy22oc5bobte0sdrft
-AmKP9VE2Ms,and what is the name of the guy @ 0:48 to 0:51 .. @CocaCola :)ï»¿,4 months ago,Axelle Chan,z13as5zoepamgfokd22lvbkqgvihhfoy004
-AmKP9VE2Ms,"Hi Axelle. Contractual agreements with our ad agencies and the talent prohibit the release of an artist's identity without their prior consent. Unfortunately, consent has not been granted for this particular ad.ï»¿",4 months ago,Coca-Cola,z13as5zoepamgfokd22lvbkqgvihhfoy004.1464362919072190
-AmKP9VE2Ms,what is the name of the guy @ 0:36 to 0:38 ? the guy who had a french or torrid kissing with a girl ... @CocaColaï»¿,4 months ago,Axelle Chan,z12zud3ignn1snmn022lvbkqgvihhfoy004
-AmKP9VE2Ms,"Hey Axelle, contractual agreements with our ad agencies and the talent prohibit the release of an artist's identity without their prior consent. Unfortunately, consent has not been granted for this particular ad.ï»¿",4 months ago,Coca-Cola,z12zud3ignn1snmn022lvbkqgvihhfoy004.1464363031432388
-AmKP9VE2Ms,+Coca-Cola oh i see.. its okay no worries.. i just want to follow them at instagram hehe.. not unlike the break up coca cola tv ads and the emoticon and the taiwan version of supermarket some of the youtube users know the name of the models hehe by the way thanks.. _Ÿ‘ç_Ÿ‘ç_Ÿ‘çï»¿,4 months ago,Axelle Chan,z12zud3ignn1snmn022lvbkqgvihhfoy004.1464366423053754
-AmKP9VE2Ms,The coca cola is made in Italy ï»¿,4 months ago,Christian Russolillo,z12silwqjxnjz1ohj04cdjspvoy2zd5oomo0k
-AmKP9VE2Ms,I want this song version  this version way better than originalï»¿,4 months ago,Wan Dark_Killer,z125gnswdkawsnc3d22gzboo2t3nhnck1
-AmKP9VE2Ms,Whats is name Girl in 0:24 plz.ï»¿,4 months ago,Leandro CROSS,z13egdgbrl3pdna2q222il35tuymyvye0
-AmKP9VE2Ms,Yoï»¿,4 months ago,Hakim Ishak,z13ied0j1oz5jf5on04cezp4hl2it3jqums0k
-AmKP9VE2Ms,I might say that Coca Cola commercial has a good taste for picking a song huh. :Dï»¿,4 months ago,Jessa Mae Reyes,z13hy51irre3cjwm523lu3qzhku1hbwcs
-AmKP9VE2Ms,name song this version pleaseï»¿,4 months ago,Tigran Galstyan,z12qz55zqqiienafn23pgv1pwub1dljea
-AmKP9VE2Ms,0:36 - 0:38 was edited out in Africa.Lolï»¿,4 months ago,MrThecarfreak777,z13jd1qgypnavdk0y220hpp4gt3zgxgdz
-AmKP9VE2Ms,This is the best coca cola anthem i've ever heardï»¿,5 months ago,DeathTrap 64,z12ghjwpzmz3xx4ng234v1hajpy3ujko504
-AmKP9VE2Ms,The advertisements are just great....me wana taste the feeling too...Coke..the bestï»¿,5 months ago,dorcas yengo,z121clmqomnlvhjwr04cij2qxpjpwjupvss0k
