created_at,tweet_favorite_count,tweet_id,tweet_retweet_count,tweet_text,user_tweet_count,user_follower_count,user_following_count
14/9/16 17:41,0,7.76E+17,676,"RT @CocaCola: Brothers- may not always get along, but always there when it counts‰Û_ #TasteTheFeelinghttps://t.co/9gO7nE6UoL",114,3,25
14/9/16 17:04,0,7.76E+17,2956,"RT @JayeHanash: @hellobangsie I like having Coke + Jollibee burger steak _Ù÷Ü after watching a concert. Concert date, game? #TasteTheFeeling",67140,864,224
14/9/16 16:57,0,7.76E+17,5,"RT @CocaCola_GB: So close, yet so far! #Weekend #TasteTheFeeling https://t.co/nfdrH56HTz",1776,56,1227
14/9/16 16:31,0,7.76E+17,1095,RT @itsenriquegil: this new @CocaColaPH ad makes me feel like drinking a Coke right now! Napanood niyo na ba? _Ù÷_#TasteTheFeeling https://t.c‰Û_,21879,13,50
14/9/16 16:31,0,7.76E+17,1887,RT @itsenriquegil: done w reh #TasteTheFeeling @CocaColaPH #VoteEnriqueFPP #KCA https://t.co/pc4fXK8uWh,21879,13,50
14/9/16 16:31,0,7.76E+17,58,RT @CocaColaPH: Best bonding activity ang playing video games! Ano ang perfect meal with COKE for this moment? #TasteTheFeeling https://t.c‰Û_,71080,878,589
14/9/16 16:30,0,7.76E+17,2819,RT @itsenriquegil: that romantic moment when I shared a COCA-COLA with @lizasoberano. Sorry naubos ko yung COKE! #TasteTheFeeling _Ù÷ä https:/‰Û_,21879,13,50
14/9/16 16:30,0,7.76E+17,1136,RT @itsenriquegil: It‰Ûªs going to be epic-- #TasteTheFeeling with @CocaColaPH! Tag your friends and share an amazing COKE moment https://t.c‰Û_,21879,13,50
14/9/16 16:30,0,7.76E+17,2246,"RT @itsenriquegil: Hot, hot day, Coke is the only thing keeping me cool. Ikaw, ano ang mga cool moments mo with COKE? _Ù÷_#TasteTheFeeling htt‰Û_",21879,13,50
14/9/16 16:30,0,7.76E+17,1951,RT @itsenriquegil: Coca-Cola lifts me up! Unstoppable ka rin ba with Coke? Share your unstoppable Coke moments w/ me! #TasteTheFeeling http‰Û_,21879,13,50
14/9/16 16:26,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,15463,212,287
14/9/16 16:17,0,7.76E+17,2956,"RT @JayeHanash: @hellobangsie I like having Coke + Jollibee burger steak _Ù÷Ü after watching a concert. Concert date, game? #TasteTheFeeling",18923,35,58
14/9/16 15:31,0,7.76E+17,2956,"RT @JayeHanash: @hellobangsie I like having Coke + Jollibee burger steak _Ù÷Ü after watching a concert. Concert date, game? #TasteTheFeeling",6009,273,525
14/9/16 15:30,0,7.76E+17,58,RT @CocaColaPH: Best bonding activity ang playing video games! Ano ang perfect meal with COKE for this moment? #TasteTheFeeling https://t.c‰Û_,41380,418,644
14/9/16 15:04,0,7.76E+17,0,Speak the universal language of smiles #TasteTheFeeling #iworkatcoke #IWorkatCoke https://t.co/QpHcr1nEtK,48,16,56
